Trap_number,Setup_date,Collection_date,GPS_device,Latitude,Longitude,Elevation,Weather_info,Bait,Collected_species,Sexe,Remarks,Pictures,Person
trap_1,17/01/22,,phone,8.7018884,-83.2041785,,sunny,banana,,,,,
trap_2,17/01/22,,phone,8.7015023,-83.2043656,,sunny,banana,,,,,
trap_3,17/01/22,,phone,8.7017184,-83.2045296,,sunny,banana,,,,,
net_1,17/01/22,,phone,8.7017184,-83.2045296,,sunny,banana,,,,,Michael Lang
trap_4,17/01/22,,phone,8.7016289,-83.2046503,,sunny,banana,,,,,
trap_5,17/01/22,,phone,8.7011659,-83.2045021,,sunny,banana,,,,,
trap_6,17/01/22,,phone,8.7008660,-83.2046033,,sunny,banana,,,,,
trap_7,17/01/22,,phone,8.7005916,-83.2045775,,sunny,banana,,,,,
mushroom_1,17/01/22,,phone,8.7005916,-83.2045775,,sunny,mushroom,,,,,
trap_8,17/01/22,,phone,8.7003404,-83.2046567,,sunny,banana,,,,,
trap_9,17/01/22,,phone,8.7002741,-83.2055471,,sunny,banana,,,on a tree trunk,,
trap_10,17/01/22,,phone,8.7002741,-83.2055471,,sunny,banana,,,in a bush,,
trap_11,17/01/22,,phone,8.7000965,-83.2059149,,sunny,banana,,,,,
trap_19,17/01/22,,phone,8.6997074,-83.2065935,,sunny,banana,,,,,
mushroom_2,17/01/22,,phone,8.6994578,-83.2068899,,sunny,mushroom,,,,,
trap_14,17/01/22,,phone,8.6991459,-83.2080097,,sunny,banana,,,,,
trap_21,17/01/22,,phone,8.6998983,-83.2077130,,sunny,banana,,,,,
mushroom_3,17/01/22,,phone,8.6998983,-83.2077130,,sunny,mushroom,,,coordinates to be corrected,,
