compet;a;t0;k;n_immig;birth_rate;n_alive_0;n_alive_1;n_alive_2;n_alive_3;n_alive_4;n_alive_5;n_alive_6;n_alive_7;n_alive_8;n_alive_9;n_alive_10;n_alive_11;n_alive_12;n_alive_13;n_alive_14;n_alive_15;n_alive_16;n_alive_17;n_alive_18;n_alive_19;n_alive_20;n_alive_21;n_alive_22;n_alive_23;n_alive_24;n_alive_25;n_alive_26;n_alive_27;n_alive_28;n_alive_29;n_alive_30;n_alive_31;n_alive_32;n_alive_33;n_alive_34;n_alive_35;n_alive_36;n_alive_37;n_alive_38;n_alive_39;n_alive_40;n_alive_41;n_alive_42;n_alive_43;n_alive_44;n_alive_45;n_alive_46;n_alive_47;n_alive_48;n_alive_49;smurf_rate_0;smurf_rate_1;smurf_rate_2;smurf_rate_3;smurf_rate_4;smurf_rate_5;smurf_rate_6;smurf_rate_7;smurf_rate_8;smurf_rate_9;smurf_rate_10;smurf_rate_11;smurf_rate_12;smurf_rate_13;smurf_rate_14;smurf_rate_15;smurf_rate_16;smurf_rate_17;smurf_rate_18;smurf_rate_19;smurf_rate_20;smurf_rate_21;smurf_rate_22;smurf_rate_23;smurf_rate_24;smurf_rate_25;smurf_rate_26;smurf_rate_27;smurf_rate_28;smurf_rate_29;smurf_rate_30;smurf_rate_31;smurf_rate_32;smurf_rate_33;smurf_rate_34;smurf_rate_35;smurf_rate_36;smurf_rate_37;smurf_rate_38;smurf_rate_39;smurf_rate_40;smurf_rate_41;smurf_rate_42;smurf_rate_43;smurf_rate_44;smurf_rate_45;smurf_rate_46;smurf_rate_47;smurf_rate_48;smurf_rate_49;age_0_smurf0;age_1_smurf0;age_2_smurf0;age_3_smurf0;age_4_smurf0;age_5_smurf0;age_6_smurf0;age_7_smurf0;age_8_smurf0;age_9_smurf0;age_10_smurf0;age_11_smurf0;age_12_smurf0;age_13_smurf0;age_14_smurf0;age_15_smurf0;age_16_smurf0;age_17_smurf0;age_18_smurf0;age_19_smurf0;age_20_smurf0;age_21_smurf0;age_22_smurf0;age_23_smurf0;age_24_smurf0;age_25_smurf0;age_26_smurf0;age_27_smurf0;age_28_smurf0;age_29_smurf0;age_0_smurf1;age_1_smurf1;age_2_smurf1;age_3_smurf1;age_4_smurf1;age_5_smurf1;age_6_smurf1;age_7_smurf1;age_8_smurf1;age_9_smurf1;age_10_smurf1;age_11_smurf1;age_12_smurf1;age_13_smurf1;age_14_smurf1;age_15_smurf1;age_16_smurf1;age_17_smurf1;age_18_smurf1;age_19_smurf1;age_20_smurf1;age_21_smurf1;age_22_smurf1;age_23_smurf1;age_24_smurf1;age_25_smurf1;age_26_smurf1;age_27_smurf1;age_28_smurf1;age_29_smurf1
1,00E-09;0,009;5;0,1911;9;0,2;11;24;44;56;74;94;115;140;175;214;262;322;402;494;607;717;887;1060;1264;1520;1862;2237;2694;3270;3900;4685;5686;6780;8160;9796;11806;14110;16841;20171;24106;29050;34894;41685;50019;59873;71865;86234;103674;124281;149126;178962;214547;257460;308561;370094;0,090909091;0,041666667;0,045454545;0,089285714;0,081081081;0,074468085;0,07826087;0,1;0,131428571;0,112149533;0,091603053;0,080745342;0,069651741;0,048582996;0,057660626;0,052998605;0,060879369;0,060377358;0,059335443;0,053947368;0,047798067;0,049173;0,055679287;0,051987768;0,050512821;0,047812166;0,050826592;0,051474926;0,050122549;0,051245406;0,051499238;0,049893692;0,047859391;0,048882058;0,047913383;0,04788296;0,047286066;0,047643037;0,048021752;0,048268836;0,04731093;0,047417492;0,047562552;0,048253554;0,047999678;0,047702864;0,04711322;0,0474598;0,047915971;0,047931066;64691;53656;44942;37108;30755;25253;20385;16649;13206;10586;8262;6492;4984;3879;3068;2220;1691;1251;891;716;536;349;248;185;107;80;53;39;33;13;0;6;84;248;460;693;895;1118;1299;1291;1325;1320;1222;1185;1105;868;813;712;588;502;401;355;254;258;180;133;105;78;47;62
1,00E-09;0,009;5;0,1911;9;0,3;13;32;62;92;135;195;271;380;532;718;963;1307;1750;2319;3088;4178;5642;7442;9839;13116;17536;23623;31512;42057;56120;75202;100601;134580;180065;240216;321371;429203;573614;766153;1023583;1366835;1824371;2433189;3242377;4315157;5735414;7617335;10092024;13332596;17550129;22991981;29930877;38661226;49450943;62504735;0;0;0,064516129;0,054347826;0,051851852;0,035897436;0,033210332;0,036842105;0,037593985;0,026462396;0,03219107;0,030604438;0,029142857;0,027598103;0,022668394;0,022977501;0,021978022;0,024321419;0,022969814;0,0221104;0,021954836;0,021758456;0,02100787;0,021114202;0,021293656;0,021355815;0,021441139;0,020768316;0,020870241;0,021368269;0,021302482;0,021234707;0,021111758;0,021173317;0,021199063;0,021182513;0,021143726;0,021179201;0,021190627;0,021184397;0,021173537;0,021174203;0,021206351;0,021210198;0,021156825;0,021178297;0,021197441;0,021231505;0,02125735;0,021232375;15956206;11933949;8919054;6637348;4919553;3619187;2645318;1919060;1383313;984030;698775;491080;343044;237069;162908;110563;74555;49709;32891;21527;14062;8956;5834;3603;2371;1419;866;553;323;185;8;1820;14715;40568;71715;98671;118561;127372;128329;121918;111131;98252;83707;69408;56571;45115;35073;27165;20689;15585;11422;8516;6210;4414;3179;2220;1536;1058;741;480
1,00E-09;0,009;5;0,1911;9;0,01;10;18;25;30;37;41;47;49;61;73;81;88;99;102;111;119;126;125;131;135;139;142;142;147;145;147;147;149;150;148;142;140;137;133;137;138;133;133;131;141;145;148;152;155;160;152;150;151;152;149;0,1;0,055555556;0,08;0,1;0,108108108;0,146341463;0,085106383;0,102040816;0,081967213;0,095890411;0,160493827;0,204545455;0,191919192;0,196078431;0,189189189;0,218487395;0,238095238;0,288;0,27480916;0,281481481;0,287769784;0,274647887;0,345070423;0,340136054;0,344827586;0,333333333;0,353741497;0,362416107;0,346666667;0,337837838;0,352112676;0,364285714;0,335766423;0,383458647;0,394160584;0,384057971;0,338345865;0,323308271;0,320610687;0,340425532;0,317241379;0,304054054;0,315789474;0,348387097;0,3625;0,348684211;0,353333333;0,317880795;0,282894737;0,302013423;2;3;0;5;4;3;3;6;4;6;4;4;9;5;6;2;5;2;2;5;5;2;3;1;1;4;0;2;0;2;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1;2;3;3;2;1;3;0;3;4;2;3;1;1
1,00E-09;0,009;5;0,1911;9;0,1;10;25;37;45;56;69;85;111;127;143;161;175;194;220;245;265;291;309;329;362;386;425;472;500;536;580;614;666;704;764;804;870;934;984;1047;1104;1192;1292;1399;1488;1572;1669;1768;1893;2009;2110;2277;2455;2625;2762;0;0;0,081081081;0,088888889;0,107142857;0,115942029;0,105882353;0,09009009;0,094488189;0,111888112;0,124223602;0,125714286;0,118556701;0,118181818;0,13877551;0,162264151;0,140893471;0,158576052;0,142857143;0,140883978;0,139896373;0,16;0,152542373;0,144;0,160447761;0,155172414;0,154723127;0,154654655;0,159090909;0,153141361;0,141791045;0,156321839;0,147751606;0,152439024;0,143266476;0,137681159;0,138422819;0,13003096;0,131522516;0,13172043;0,138040712;0,143199521;0,140837104;0,143687269;0,144350423;0,139810427;0,140096618;0,145417515;0,142857143;0,141564084;214;233;228;206;159;161;152;126;105;98;100;92;84;63;56;45;45;47;29;26;20;23;12;12;12;6;4;3;2;1;0;0;0;0;2;3;7;11;12;13;15;24;32;25;19;20;17;16;21;17;16;9;9;11;10;11;11;10;8;5
1,00E-08;0,009;5;0,1911;9;0,2;8;18;31;49;69;87;119;156;201;256;310;382;479;586;727;875;1065;1288;1545;1860;2215;2649;3172;3821;4588;5498;6642;7918;9529;11396;13651;16353;19790;23791;28703;34408;41322;49571;59403;71331;85600;102644;122981;147057;175992;211025;253094;302827;361916;432196;0;0;0,032258065;0,102040816;0,130434783;0,114942529;0,084033613;0,070512821;0,049751244;0,05078125;0,04516129;0,052356021;0,056367432;0,056313993;0,060522696;0,060571429;0,057276995;0,049689441;0,048543689;0,052688172;0,050112867;0,046432616;0,045712484;0,048154933;0,051656495;0,052928338;0,052694971;0,049381157;0,049323119;0,048525799;0,046003956;0,047636519;0,047145023;0,047034593;0,046859213;0,047895838;0,047214559;0,046962942;0,047085164;0,04585664;0,046635514;0,047036359;0,046584432;0,046553377;0,046524842;0,04653951;0,0468245;0,046960806;0,047386686;0,047205435;75382;62805;52400;43753;36053;29221;23597;19361;15452;12454;9851;7616;5931;4624;3426;2662;2002;1493;1045;785;561;405;275;195;137;93;78;50;34;27;0;9;82;278;524;823;1100;1277;1455;1487;1527;1487;1392;1307;1245;1090;951;839;681;597;452;394;289;243;208;166;128;99;64;56
1,00E-08;0,009;5;0,1911;9;0,3;12;17;39;58;91;130;188;254;354;480;669;895;1181;1568;2101;2790;3723;5054;6679;8964;11848;15996;21378;28658;38334;51433;68544;91632;122544;163360;218226;291598;387778;515653;685130;908609;1203639;1586407;2082125;2716150;3518400;4515157;5735447;7185165;8860970;10737193;12762402;14856335;16936517;18914472;0;0,058823529;0,076923077;0,051724138;0,054945055;0,053846154;0,042553191;0,035433071;0,02259887;0,029166667;0,034379671;0,034636872;0,032176122;0,02869898;0,024750119;0,025806452;0,024711254;0,022754254;0,023057344;0,022311468;0,021353815;0,021380345;0,021470671;0,021425082;0,021364846;0,021114848;0,020774977;0,020309499;0,020213148;0,020188541;0,020510847;0,020572843;0,020728355;0,02077366;0,020960986;0,021132302;0,021164984;0,021129508;0,0211726;0,021168934;0,021262221;0,021271686;0,021328416;0,021211482;0,021222394;0,021200606;0,021244355;0,021236126;0,02124817;0,021208839;4826259;3611989;2699163;2008481;1489194;1093962;801263;581528;417544;299359;211732;149384;103640;72364;48996;33508;22187;14882;9908;6415;4179;2787;1701;1082;703;420;269;167;88;74;3;528;4494;12290;21634;30122;35886;38711;38864;36982;33400;29132;25352;20961;16980;13529;10623;8199;6301;4850;3571;2497;1841;1350;951;671;432;297;229;144
1,00E-08;0,009;5;0,1911;9;0,1;13;24;36;48;59;70;97;115;129;146;169;182;195;225;264;290;314;347;387;428;461;510;563;614;661;716;755;813;878;929;991;1063;1129;1211;1296;1394;1476;1577;1677;1790;1925;2033;2138;2262;2396;2551;2705;2912;3067;3263;0;0,041666667;0,027777778;0,041666667;0,084745763;0,128571429;0,103092784;0,156521739;0,15503876;0,212328767;0,183431953;0,153846154;0,153846154;0,128888889;0,106060606;0,082758621;0,095541401;0,106628242;0,100775194;0,112149533;0,123644252;0,119607843;0,120781528;0,128664495;0,139183056;0,146648045;0,127152318;0,143911439;0,13667426;0,141011841;0,147325933;0,150517404;0,141718335;0,133773741;0,137345679;0,146341463;0,136856369;0,138871275;0,125819917;0,130167598;0,133506494;0,139203148;0,135173059;0,138815208;0,141068447;0,143473148;0,150092421;0,142857143;0,137267688;0,1360711;272;239;287;212;200;186;171;149;143;147;122;125;91;76;65;73;50;41;35;26;23;14;16;10;12;9;4;4;4;4;0;0;1;2;2;7;9;7;15;11;22;20;23;25;21;23;30;20;35;23;12;22;11;7;13;9;17;5;5;11
1,00E-08;0,009;5;0,1911;9;0,01;6;12;23;27;34;38;50;65;76;89;98;118;126;130;132;134;136;141;144;148;141;140;138;133;137;142;145;149;148;156;161;154;150;155;156;153;157;157;160;160;167;176;169;168;162;160;158;156;152;153;0;0,083333333;0,086956522;0,074074074;0,117647059;0,131578947;0,1;0,123076923;0,131578947;0,146067416;0,183673469;0,177966102;0,238095238;0,276923077;0,318181818;0,291044776;0,286764706;0,262411348;0,270833333;0,27027027;0,269503546;0,257142857;0,268115942;0,270676692;0,248175182;0,26056338;0,227586207;0,241610738;0,22972973;0,262820513;0,347826087;0,324675325;0,34;0,322580645;0,333333333;0,300653595;0,292993631;0,331210191;0,3375;0,28125;0,299401198;0,346590909;0,343195266;0,363095238;0,382716049;0,35;0,35443038;0,365384615;0,309210526;0,281045752;2;1;4;0;3;4;2;3;6;6;2;6;7;6;5;5;5;6;3;7;5;4;8;1;4;3;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;2;3;0;0;3;6;0;2;2;1;2;2
1,00E-08;0,009;5;0,1911;9;0,4;11;27;52;74;130;226;363;522;784;1185;1746;2635;3900;5741;8632;12816;19093;28171;41525;61407;91035;134724;199538;294787;435328;641891;943272;1382185;2016537;2916946;4176480;5893442;8147738;10983636;14350090;18095660;21959682;25664355;28951749;31686329;33830990;35457930;36638593;37484918;38083314;38491363;38777296;38968803;39108025;39200987;0;0;0;0,027027027;0,023076923;0,026548673;0,019283747;0,019157088;0,020408163;0,02278481;0,020045819;0,014421252;0,012820513;0,012367183;0,009962929;0,010689763;0,010579794;0,010507259;0,011173992;0,010699106;0,010798045;0,010465841;0,010494242;0,010644974;0,010863073;0,011033026;0,011185533;0,011150461;0,010977235;0,010987519;0,010970003;0,010966936;0,010905603;0,010904586;0,010914078;0,010939805;0,010938546;0,010945259;0,010935781;0,010941406;0,010943783;0,010928952;0,010929868;0,01091631;0,010923498;0,01093796;0,010930494;0,010895921;0,010911111;0,010917098;12828460;8651030;5826481;3907257;2610318;1733379;1141516;746466;485480;311221;198776;126585;79342;49209;30370;18827;11480;6880;4185;2500;1407;808;455;275;153;81;44;16;17;5;8;1346;9434;23424;37791;47481;50672;49472;44780;38050;31431;24957;19339;14444;10710;7704;5567;3664;2556;1713;1177;848;545;337;197;120;80;37;27;20
1,00E-07;0,009;5;0,1911;9;0,2;17;31;52;64;80;106;149;208;263;316;395;472;557;665;808;962;1139;1376;1643;1969;2330;2756;3332;3994;4805;5767;6876;8226;9895;11827;14225;17067;20477;24448;29339;35089;41860;50003;59783;71307;85208;101328;120223;142341;168029;197832;232367;272038;317011;367616;0;0,032258065;0,076923077;0,0625;0,0625;0,075471698;0,060402685;0,043269231;0,053231939;0,075949367;0,060759494;0,05720339;0,055655296;0,05112782;0,063118812;0,068607069;0,062335382;0,058866279;0,055995131;0,052310818;0,055364807;0,051161103;0,051320528;0,053580371;0,051404787;0,047511705;0,045375218;0,048140044;0,047599798;0,048871227;0,048435852;0,048924826;0,048151585;0,04609784;0,04720679;0,047194277;0,048256092;0,047697138;0,047321145;0,047919559;0,047683316;0,046611006;0,046155894;0,046149739;0,046759786;0,047141009;0,047196891;0,047096362;0,046824874;0,046820595;64313;53407;44714;36930;30306;24835;20384;16396;13323;10811;8184;6567;4924;3826;2881;2331;1707;1286;948;671;496;368;233;175;107;95;62;43;28;18;0;13;67;239;400;681;948;1133;1198;1283;1382;1242;1262;1094;1034;898;751;671;575;495;353;296;266;207;164;134;85;90;69;49
1,00E-07;0,009;5;0,1911;9;0,3;5;13;28;48;74;114;153;199;269;368;493;637;854;1121;1458;1901;2448;3303;4361;5892;7860;10517;14024;18671;25162;33459;44348;58993;78159;103468;136568;179989;235700;306749;395922;505584;638309;794502;972488;1168075;1374462;1585361;1788779;1978296;2151171;2301758;2426414;2530320;2613951;2680705;0,2;0;0;0,0625;0,040540541;0,026315789;0,045751634;0,065326633;0,059479554;0,0625;0,060851927;0,058084772;0,052693208;0,045495094;0,038408779;0,035244608;0,034722222;0,028156222;0,025223573;0,022233537;0,022391858;0,022344775;0,021035368;0,021905629;0,02173913;0,022445381;0,022887165;0,022172122;0,021865684;0,021919821;0,022018335;0,021056842;0,021137039;0,021137803;0,02113295;0,021270452;0,021115165;0,021217064;0,021398722;0,021378764;0,021433113;0,021456312;0,02126758;0,02119703;0,021073638;0,021168602;0,021141899;0,021133295;0,021020669;0,021111238;683609;510995;383010;284405;211885;155257;113535;82364;59122;42767;30253;21030;14637;10318;7017;4676;3230;2055;1356;907;614;391;264;146;100;76;37;23;14;5;0;83;626;1697;3014;4221;4970;5592;5436;5269;4856;4138;3583;2916;2343;1976;1479;1107;856;633;517;367;250;204;152;100;66;49;37;14
1,00E-07;0,009;5;0,1911;9;0,4;28;47;93;145;222;354;554;831;1252;1839;2725;3995;5989;8844;13165;19551;28777;42413;62651;91991;134794;196259;284219;406763;573995;796003;1074709;1407482;1779371;2163485;2533660;2867763;3147556;3369394;3536748;3655839;3740828;3803745;3846479;3877383;3895020;3907682;3916420;3923051;3924272;3928403;3931640;3933540;3934320;3934969;0,035714286;0,021276596;0,010752688;0,013793103;0,018018018;0,019774011;0,016245487;0,025270758;0,021565495;0,02011963;0,017614679;0,015269086;0,013357823;0,01232474;0,011773642;0,011508363;0,012301491;0,011694528;0,011396466;0,011370678;0,01125421;0,011388013;0,011213184;0,011156374;0,011078494;0,010797698;0,010934123;0,010897475;0,010970731;0,011015098;0,010959245;0,010922102;0,010924349;0,010957757;0,010943104;0,010919518;0,010887697;0,01099732;0,010968473;0,010970544;0,010938326;0,010957391;0,010945966;0,010960857;0,010973755;0,010942869;0,010957514;0,011000524;0,01104689;0,010997037;1287611;867933;586034;391792;261756;173867;114290;75029;48676;31450;19997;12672;7881;4985;3055;1814;1137;683;435;243;139;98;58;26;16;6;3;5;3;1;1;140;974;2362;3882;4804;5033;4922;4561;3854;3157;2590;1926;1470;1068;775;554;409;265;188;105;87;50;38;25;15;6;3;6;3
1,00E-07;0,009;5;0,1911;9;0,5;17;46;97;176;303;491;849;1375;2290;3783;6261;10344;17047;28092;45920;74652;121381;196324;314377;496098;764893;1143059;1635450;2215223;2826342;3396862;3874498;4236019;4491332;4663303;4771217;4843845;4888108;4915031;4932037;4945756;4946645;4950446;4954988;4955405;4954200;4957785;4957739;4955177;4954903;4957564;4959940;4961718;4964635;4964289;0;0;0,020618557;0,017045455;0,01650165;0,016293279;0,010600707;0,010181818;0,007860262;0,008458895;0,006229037;0,006283836;0,007332669;0,007012673;0,007360627;0,006979049;0,006829734;0,006463805;0,006479482;0,00626086;0,00625447;0,00620003;0,006173224;0,006179965;0,006169459;0,006183943;0,006263521;0,006198745;0,006194821;0,006142856;0,006119613;0,006182279;0,006183988;0,006196706;0,006184057;0,006182675;0,006076442;0,006145911;0,0062206;0,006212005;0,00620524;0,006186432;0,006128398;0,006146703;0,006137961;0,006164318;0,0061533;0,006203093;0,006179508;0,006196456;1944987;1185002;721063;436399;262760;157851;94019;55230;32373;18840;10867;6148;3537;1961;1140;640;328;174;93;61;28;15;8;4;0;1;0;0;0;0;1;208;1145;2556;3832;4345;4203;3658;3016;2395;1711;1207;855;577;417;229;155;118;43;33;21;13;11;3;6;2;1;0;0;0
1,00E-07;0,009;5;0,1911;9;0,01;7;14;22;34;41;51;54;62;64;69;78;89;97;103;107;112;119;125;128;127;128;126;131;132;133;137;140;140;134;129;130;127;133;138;139;140;144;142;141;149;159;157;157;156;156;155;161;164;163;169;0;0,071428571;0,045454545;0,058823529;0,097560976;0,156862745;0,203703704;0,241935484;0,203125;0,188405797;0,230769231;0,134831461;0,164948454;0,203883495;0,186915888;0,196428571;0,210084034;0,28;0,2734375;0,299212598;0,265625;0,26984127;0,267175573;0,265151515;0,315789474;0,321167883;0,335714286;0,342857143;0,343283582;0,325581395;0,323076923;0,291338583;0,293233083;0,289855072;0,309352518;0,264285714;0,277777778;0,253521127;0,290780142;0,308724832;0,314465409;0,305732484;0,312101911;0,307692308;0,307692308;0,290322581;0,267080745;0,274390244;0,263803681;0,25443787;3;3;0;5;8;3;4;3;5;6;9;5;4;5;4;2;6;7;3;7;5;4;5;3;5;2;1;4;2;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;2;2;1;5;0;7;0;1;3;1;5;0;0;1;2
1,00E-07;0,009;5;0,1911;9;0,1;13;19;26;37;52;70;81;99;112;123;140;156;178;201;226;249;274;296;319;340;384;422;474;496;531;568;598;650;687;722;776;838;888;939;1001;1066;1144;1211;1278;1363;1454;1567;1655;1740;1833;1972;2088;2221;2356;2500;0;0,105263158;0,115384615;0,108108108;0,115384615;0,085714286;0,148148148;0,141414141;0,160714286;0,195121951;0,214285714;0,211538462;0,202247191;0,164179104;0,168141593;0,156626506;0,145985401;0,121621622;0,115987461;0,114705882;0,130208333;0,125592417;0,122362869;0,118951613;0,109227872;0,133802817;0,117056856;0,116923077;0,132459971;0,135734072;0,145618557;0,137231504;0,134009009;0,127795527;0,137862138;0,142589118;0,145979021;0,149463254;0,157276995;0,146735143;0,15474553;0,15252074;0,15347432;0,152298851;0,145117294;0,139959432;0,138409962;0,139576767;0,131154499;0,1228;207;194;180;162;189;141;126;135;138;102;99;73;70;71;50;48;43;35;26;22;20;12;9;6;10;6;1;4;2;2;0;0;0;0;1;2;6;3;6;8;23;15;14;10;14;12;12;17;24;13;8;12;19;10;19;7;6;10;4;10
