"birth_rate";"compet";"a";"t0";"k";"compet2";"n_immig";"n_alive_0";"n_alive_1";"n_alive_2";"n_alive_3";"n_alive_4";"n_alive_5";"n_alive_6";"n_alive_7";"n_alive_8";"n_alive_9";"n_alive_10";"n_alive_11";"n_alive_12";"n_alive_13";"n_alive_14";"n_alive_15";"n_alive_16";"n_alive_17";"n_alive_18";"n_alive_19";"n_alive_20";"n_alive_21";"n_alive_22";"n_alive_23";"n_alive_24";"n_alive_25";"n_alive_26";"n_alive_27";"n_alive_28";"n_alive_29";"n_alive_30";"n_alive_31";"n_alive_32";"n_alive_33";"n_alive_34";"n_alive_35";"n_alive_36";"n_alive_37";"n_alive_38";"n_alive_39";"n_alive_40";"n_alive_41";"n_alive_42";"n_alive_43";"n_alive_44";"n_alive_45";"n_alive_46";"n_alive_47";"n_alive_48";"n_alive_49";"smurf_rate_0";"smurf_rate_1";"smurf_rate_2";"smurf_rate_3";"smurf_rate_4";"smurf_rate_5";"smurf_rate_6";"smurf_rate_7";"smurf_rate_8";"smurf_rate_9";"smurf_rate_10";"smurf_rate_11";"smurf_rate_12";"smurf_rate_13";"smurf_rate_14";"smurf_rate_15";"smurf_rate_16";"smurf_rate_17";"smurf_rate_18";"smurf_rate_19";"smurf_rate_20";"smurf_rate_21";"smurf_rate_22";"smurf_rate_23";"smurf_rate_24";"smurf_rate_25";"smurf_rate_26";"smurf_rate_27";"smurf_rate_28";"smurf_rate_29";"smurf_rate_30";"smurf_rate_31";"smurf_rate_32";"smurf_rate_33";"smurf_rate_34";"smurf_rate_35";"smurf_rate_36";"smurf_rate_37";"smurf_rate_38";"smurf_rate_39";"smurf_rate_40";"smurf_rate_41";"smurf_rate_42";"smurf_rate_43";"smurf_rate_44";"smurf_rate_45";"smurf_rate_46";"smurf_rate_47";"smurf_rate_48";"smurf_rate_49";"age_0_smurf0";"age_1_smurf0";"age_2_smurf0";"age_3_smurf0";"age_4_smurf0";"age_5_smurf0";"age_6_smurf0";"age_7_smurf0";"age_8_smurf0";"age_9_smurf0";"age_10_smurf0";"age_11_smurf0";"age_12_smurf0";"age_13_smurf0";"age_14_smurf0";"age_15_smurf0";"age_16_smurf0";"age_17_smurf0";"age_18_smurf0";"age_19_smurf0";"age_20_smurf0";"age_21_smurf0";"age_22_smurf0";"age_23_smurf0";"age_24_smurf0";"age_25_smurf0";"age_26_smurf0";"age_27_smurf0";"age_28_smurf0";"age_29_smurf0";"age_0_smurf1";"age_1_smurf1";"age_2_smurf1";"age_3_smurf1";"age_4_smurf1";"age_5_smurf1";"age_6_smurf1";"age_7_smurf1";"age_8_smurf1";"age_9_smurf1";"age_10_smurf1";"age_11_smurf1";"age_12_smurf1";"age_13_smurf1";"age_14_smurf1";"age_15_smurf1";"age_16_smurf1";"age_17_smurf1";"age_18_smurf1";"age_19_smurf1";"age_20_smurf1";"age_21_smurf1";"age_22_smurf1";"age_23_smurf1";"age_24_smurf1";"age_25_smurf1";"age_26_smurf1";"age_27_smurf1";"age_28_smurf1";"age_29_smurf1"
"0.2";1e-04;"0.009";5;"0.1911";1e-06;9;7;13;26;42;57;77;96;112;149;175;210;259;309;350;405;447;529;599;687;782;883;943;1010;1118;1184;1281;1391;1456;1514;1571;1605;1648;1658;1678;1702;1776;1787;1797;1780;1791;1801;1827;1808;1825;1802;1824;1830;1847;1805;1805;"0";"0.153846153846154";"0.153846153846154";"0.119047619047619";"0.12280701754386";"0.116883116883117";"0.09375";"0.0982142857142857";"0.087248322147651";"0.0857142857142857";"0.0904761904761905";"0.0926640926640927";"0.0841423948220065";"0.0742857142857143";"0.0839506172839506";"0.0939597315436242";"0.0793950850661626";"0.0701168614357262";"0.0727802037845706";"0.0677749360613811";"0.0622876557191393";"0.0583244962884411";"0.0574257425742574";"0.0500894454382826";"0.0489864864864865";"0.0523028883684621";"0.0575125808770669";"0.0570054945054945";"0.0508586525759577";"0.0451941438574157";"0.0448598130841121";"0.0485436893203883";"0.0548854041013269";"0.0572109654350417";"0.0593419506462985";"0.0551801801801802";"0.0531617235590375";"0.0450751252086811";"0.0443820224719101";"0.045784477945282";"0.0471960022209883";"0.0569239189928845";"0.0553097345132743";"0.0547945205479452";"0.0532741398446171";"0.0553728070175439";"0.0551912568306011";"0.0487276664861938";"0.0470914127423823";"0.0520775623268698";327;231;227;187;151;109;114;90;70;42;33;34;26;19;14;6;7;7;7;4;1;0;1;0;0;1;1;1;1;0;1;0;0;3;2;7;5;11;9;12;2;4;4;4;7;4;3;1;3;2;0;4;2;2;0;0;0;1;0;0
"0.2";1e-05;"0.009";5;"0.1911";1e-06;9;11;23;44;62;78;98;120;159;195;253;306;383;475;564;672;784;931;1129;1323;1599;1876;2166;2538;2948;3369;3868;4439;5048;5790;6535;7284;8093;8916;9728;10449;11198;11899;12472;12974;13489;13976;14472;14764;15198;15498;15792;15908;16002;16084;16149;"0";"0.173913043478261";"0.113636363636364";"0.112903225806452";"0.102564102564103";"0.112244897959184";"0.1";"0.0628930817610063";"0.0564102564102564";"0.0592885375494071";"0.0522875816993464";"0.0574412532637076";"0.0610526315789474";"0.0602836879432624";"0.0669642857142857";"0.0714285714285714";"0.0590762620837809";"0.0575730735163862";"0.0627362055933485";"0.0625390869293308";"0.0591684434968017";"0.0600184672206833";"0.0610717100078802";"0.0576662143826323";"0.0507569011576135";"0.0532574974146846";"0.0531651272809191";"0.0562599049128368";"0.0576856649395509";"0.0599846977811783";"0.0615046677649643";"0.0625231681700235";"0.0648272768057425";"0.0676398026315789";"0.0691932242319839";"0.0729594570459011";"0.0721068997394739";"0.0727228992944195";"0.0746878372128873";"0.0776929349840611";"0.0778477389811105";"0.0770453289110005";"0.0771471146030886";"0.0799447295696802";"0.0818170086462769";"0.0818135764944276";"0.0843600704048278";"0.0836770403699538";"0.0818204426759513";"0.0840918942349372";2710;2270;1876;1582;1243;1051;913;692;582;439;356;253;218;146;111;82;67;43;44;35;24;18;9;8;5;4;4;2;2;0;17;41;56;68;97;100;102;80;90;94;72;79;74;75;50;45;35;34;27;27;21;20;13;11;7;5;5;0;5;2
"0.4";1e-04;"0.009";5;"0.1911";1e-07;9;13;26;56;85;136;200;302;437;609;858;1144;1497;1853;2243;2597;2849;3182;3441;3624;3739;3707;3751;3795;3916;3946;3910;3939;4054;3985;3977;3911;3959;3963;3954;3978;4075;3938;3947;4007;3918;3964;3955;3900;3862;3942;3946;3932;3863;3944;3970;"0";"0.0769230769230769";"0.0535714285714286";"0.0588235294117647";"0.0588235294117647";"0.05";"0.0264900662251656";"0.0205949656750572";"0.0246305418719212";"0.0221445221445221";"0.0227272727272727";"0.0180360721442886";"0.0156502968159741";"0.0111457868925546";"0.0142472083172892";"0.0168480168480168";"0.0163419233186675";"0.013949433304272";"0.0107615894039735";"0.0109654987964696";"0.0145670353385487";"0.0141295654492135";"0.0150197628458498";"0.0145556690500511";"0.0131779016725798";"0.0115089514066496";"0.0106626047220107";"0.0128268376911692";"0.0145545796737767";"0.014583857178778";"0.0140628995141907";"0.0131346299570599";"0.0118597022457734";"0.0141628730399595";"0.0118149824032177";"0.0139877300613497";"0.015744032503809";"0.0149480618191031";"0.0137259795358123";"0.0117406840224604";"0.0133703329969728";"0.011378002528445";"0.00897435897435897";"0.0113930605903677";"0.0136986301369863";"0.0141915864166244";"0.0137334689725331";"0.0139787729743722";"0.0106490872210953";"0.00755667506297229";1355;878;557;391;257;177;108;83;39;28;27;11;11;4;3;1;2;3;1;0;2;2;0;0;0;0;0;0;0;0;0;1;1;2;2;4;2;4;3;3;4;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
"0.1";1e-05;"0.009";5;"0.1911";1e-07;9;13;29;42;66;84;97;112;134;156;169;201;225;251;278;299;325;342;366;386;418;456;492;535;574;626;662;707;765;813;873;938;1003;1064;1116;1203;1271;1357;1454;1524;1603;1704;1769;1869;1993;2103;2202;2278;2379;2476;2622;"0";"0.0344827586206897";"0.0714285714285714";"0.0454545454545455";"0.0714285714285714";"0.103092783505155";"0.0982142857142857";"0.0895522388059701";"0.115384615384615";"0.112426035502959";"0.0945273631840796";"0.115555555555556";"0.143426294820717";"0.151079136690647";"0.147157190635452";"0.147692307692308";"0.128654970760234";"0.136612021857924";"0.145077720207254";"0.165071770334928";"0.149122807017544";"0.152439024390244";"0.14392523364486";"0.151567944250871";"0.134185303514377";"0.131419939577039";"0.118811881188119";"0.122875816993464";"0.145141451414514";"0.140893470790378";"0.133262260127932";"0.128614157527418";"0.133458646616541";"0.121863799283154";"0.129675810473815";"0.134539732494099";"0.142962417096536";"0.146492434662999";"0.145669291338583";"0.14410480349345";"0.144366197183099";"0.144714527981911";"0.139646869983949";"0.134972403411942";"0.125059438896814";"0.123978201634877";"0.125548726953468";"0.123160992013451";"0.12156704361874";"0.127002288329519";235;207;196;168;164;186;165;123;114;111;88;79;78;61;56;50;33;33;33;24;21;20;14;7;5;5;1;3;1;4;0;0;0;3;7;4;8;8;15;9;13;11;14;19;25;15;18;14;17;14;13;8;13;13;7;12;11;8;3;6
"0.4";1e-04;"0.009";5;"0.1911";1e-06;9;17;42;70;107;167;242;347;519;735;1017;1329;1679;2064;2449;2770;3078;3213;3349;3486;3552;3704;3758;3792;3801;3901;3936;3935;3905;3925;3874;3856;3804;3947;3971;3872;3964;3956;3964;3928;3995;3973;4017;3994;3968;3915;3873;3856;3876;3858;3901;"0";"0";"0.0285714285714286";"0.0560747663551402";"0.0598802395209581";"0.0454545454545455";"0.0461095100864553";"0.0385356454720617";"0.0353741496598639";"0.0226155358898722";"0.018058690744921";"0.0172721858248958";"0.0188953488372093";"0.0179665169456921";"0.015884476534296";"0.0185185185185185";"0.0183629007158419";"0.0176171991639295";"0.0174985656913368";"0.0177364864864865";"0.0186285097192225";"0.0194252261841405";"0.0192510548523207";"0.0220994475138122";"0.0212765957446809";"0.0210873983739837";"0.0172808132147395";"0.0169014084507042";"0.0180891719745223";"0.0172947857511616";"0.0178941908713693";"0.0168243953732913";"0.0197618444388143";"0.0196424074540418";"0.0183367768595041";"0.018920282542886";"0.0171890798786653";"0.0169021190716448";"0.0188391038696538";"0.0190237797246558";"0.0191291215706016";"0.0194174757281553";"0.0175262894341512";"0.0173891129032258";"0.0158365261813538";"0.0167828556674413";"0.0184128630705394";"0.0190918472652219";"0.0220321410057024";"0.0215329402717252";1269;816;582;387;258;180;109;73;47;36;19;14;8;7;4;4;1;0;2;0;0;1;0;0;0;0;0;0;0;0;1;6;6;12;6;8;8;4;7;7;7;2;0;0;4;2;2;0;0;0;0;1;1;0;0;0;0;0;0;0
"0.2";1e-04;"0.009";5;"0.1911";1e-07;9;10;20;32;49;70;88;113;133;163;210;259;315;374;430;515;604;681;798;893;986;1081;1165;1242;1326;1414;1487;1536;1575;1610;1642;1706;1705;1762;1804;1787;1747;1796;1794;1806;1764;1750;1807;1823;1859;1829;1839;1892;1913;1931;1989;"0";"0.1";"0.09375";"0.0612244897959184";"0.0714285714285714";"0.0795454545454545";"0.0707964601769911";"0.0827067669172932";"0.0674846625766871";"0.0380952380952381";"0.0540540540540541";"0.0507936507936508";"0.053475935828877";"0.0627906976744186";"0.0660194174757282";"0.0612582781456954";"0.0587371512481645";"0.0551378446115288";"0.0582306830907055";"0.0588235294117647";"0.0564292321924144";"0.0446351931330472";"0.0410628019323672";"0.0407239819004525";"0.0495049504950495";"0.0477471418964358";"0.0403645833333333";"0.0450793650793651";"0.0428571428571429";"0.0481120584652862";"0.0457209847596717";"0.0498533724340176";"0.0505107832009081";"0.0465631929046563";"0.0414101846670397";"0.0475100171722954";"0.049554565701559";"0.0512820512820513";"0.0476190476190476";"0.0481859410430839";"0.0411428571428571";"0.0442722744881018";"0.0460778935820077";"0.0484131253362023";"0.0481137233460908";"0.0500271886895052";"0.0533826638477801";"0.0527966544694198";"0.0455722423614707";"0.0442433383609854";373;307;247;210;153;116;101;88;74;45;35;25;31;12;20;17;7;14;8;6;6;0;0;2;0;1;1;0;1;1;0;1;0;1;2;6;5;6;7;9;7;4;5;6;4;4;5;1;2;1;1;5;2;2;0;1;1;0;0;0
"0.3";1e-05;"0.009";5;"0.1911";1e-06;9;6;23;48;73;111;157;212;289;393;537;728;958;1278;1702;2232;3000;3767;4819;6117;7603;9271;11150;13044;14826;16766;18536;20207;21729;22889;23571;24262;24879;25501;25770;26106;26107;26281;26255;26405;26376;26707;26738;26697;26526;26407;26302;26250;26306;26431;26572;"0";"0";"0.104166666666667";"0.0547945205479452";"0.0540540540540541";"0.0382165605095541";"0.0518867924528302";"0.0484429065743945";"0.0432569974554707";"0.0391061452513966";"0.0315934065934066";"0.0281837160751566";"0.0273865414710485";"0.0258519388954172";"0.0264336917562724";"0.0276666666666667";"0.0284045659676135";"0.0298817181987964";"0.0336766388752657";"0.0365645140076286";"0.0387228993636069";"0.0399103139013453";"0.0436982520699172";"0.0444489410495076";"0.0490277943456996";"0.051629261976694";"0.0559212154203989";"0.0601500299139399";"0.0632181397177684";"0.06554664630266";"0.0659879647184898";"0.0678081916475743";"0.0697227559703541";"0.0723321691889794";"0.0737378380448939";"0.0746926111770789";"0.0762528062098094";"0.0749190630356123";"0.0731300889982958";"0.0718835304822566";"0.0717040476279627";"0.0728551125738649";"0.0724800539386448";"0.0728342004071477";"0.0728594690801681";"0.0742529085240666";"0.0743619047619048";"0.0746597734357181";"0.0729068139684461";"0.0739123889808821";6526;4864;3532;2568;1938;1462;1013;802;568;433;297;181;135;82;63;40;37;30;14;8;4;5;1;0;3;0;1;0;0;1;70;168;193;197;194;180;148;147;121;110;99;65;75;37;34;26;26;16;18;14;10;5;6;3;2;0;0;0;0;0
"0.3";1e-04;"0.009";5;"0.1911";1e-06;9;12;28;51;78;103;149;189;259;345;453;580;748;911;1117;1290;1495;1704;1878;2062;2200;2362;2560;2650;2745;2816;2810;2894;2913;2890;2910;2897;2937;2974;2908;2915;2806;2861;2847;2861;2891;2867;2898;2874;2911;2886;2928;2976;2912;2951;2898;"0";"0.0714285714285714";"0.0588235294117647";"0.102564102564103";"0.0776699029126214";"0.0604026845637584";"0.0317460317460317";"0.0308880308880309";"0.0289855072463768";"0.0309050772626932";"0.0275862068965517";"0.0280748663101604";"0.0285400658616905";"0.0304386750223814";"0.0286821705426357";"0.0247491638795987";"0.0217136150234742";"0.0207667731629393";"0.0223084384093113";"0.0213636363636364";"0.0266723116003387";"0.032421875";"0.0332075471698113";"0.0280510018214936";"0.0308948863636364";"0.0302491103202847";"0.0293711126468556";"0.0308959835221421";"0.0307958477508651";"0.0281786941580756";"0.0217466344494304";"0.0241743275451141";"0.0252185608607935";"0.031292984869326";"0.0319039451114923";"0.0253029223093371";"0.0276127228241873";"0.0252897787144362";"0.0244669695910521";"0.0283638879280526";"0.0292989187303802";"0.0293305728088337";"0.0309672929714683";"0.0319477842665751";"0.0308385308385308";"0.0286885245901639";"0.0309139784946237";"0.0357142857142857";"0.0345645543883429";"0.0324361628709455";735;554;367;294;251;156;124;86;74;42;28;27;15;14;8;5;8;3;4;3;2;1;2;0;0;0;1;0;0;0;2;5;4;3;6;5;8;9;7;7;8;8;2;7;4;5;1;1;0;1;0;1;0;0;0;0;0;0;0;0
"0.1";1e-05;"0.009";5;"0.1911";1e-06;9;9;16;27;38;52;63;78;93;110;130;145;168;192;206;228;242;273;297;318;334;364;382;406;416;441;480;520;568;615;673;704;755;798;860;914;970;1021;1082;1163;1221;1276;1351;1410;1506;1591;1663;1743;1859;1943;2025;"0";"0";"0.0740740740740741";"0.0789473684210526";"0.115384615384615";"0.126984126984127";"0.102564102564103";"0.0860215053763441";"0.118181818181818";"0.153846153846154";"0.151724137931034";"0.136904761904762";"0.15625";"0.169902912621359";"0.171052631578947";"0.177685950413223";"0.183150183150183";"0.168350168350168";"0.185534591194969";"0.164670658682635";"0.164835164835165";"0.162303664921466";"0.16256157635468";"0.15625";"0.167800453514739";"0.170833333333333";"0.167307692307692";"0.15669014084507";"0.15609756097561";"0.150074294205052";"0.146306818181818";"0.145695364238411";"0.135338345864662";"0.136046511627907";"0.12800875273523";"0.135051546391753";"0.13026444662096";"0.133086876155268";"0.134995700773861";"0.142506142506143";"0.141849529780564";"0.145077720207254";"0.138297872340426";"0.140106241699867";"0.137649277184161";"0.135898977751052";"0.134825014343087";"0.140398063474987";"0.139989706639218";"0.142222222222222";168;159;170;150;132;121;117;98;91;82;58;67;58;46;34;28;25;28;23;15;17;9;6;12;6;7;4;2;1;2;0;3;0;1;1;8;5;5;9;11;9;17;10;19;14;17;14;15;19;14;13;10;11;12;6;9;7;6;3;10
"0.3";1e-04;"0.009";5;"0.1911";1e-07;9;10;32;65;91;130;167;231;291;381;512;665;819;1007;1233;1452;1648;1903;2065;2253;2439;2580;2666;2758;2789;2790;2803;2831;2839;2867;2877;2905;2886;2868;2834;2849;2856;2862;2858;2899;2853;2880;2907;2918;2873;2880;2875;2901;2921;2969;3008;"0";"0.03125";"0.0307692307692308";"0.0549450549450549";"0.0615384615384615";"0.0538922155688623";"0.0476190476190476";"0.0721649484536082";"0.047244094488189";"0.041015625";"0.0345864661654135";"0.0305250305250305";"0.028798411122145";"0.0259529602595296";"0.0241046831955923";"0.0242718446601942";"0.0267997898055702";"0.0295399515738499";"0.0261873058144696";"0.024190241902419";"0.0217054263565891";"0.0225056264066016";"0.0210297316896302";"0.019720329867336";"0.0211469534050179";"0.0228326792722083";"0.0204874602613917";"0.021486438886932";"0.024066968957098";"0.021550225929788";"0.0179001721170396";"0.0221760221760222";"0.0219665271966527";"0.0232886379675371";"0.0207090207090207";"0.0210084033613445";"0.0202655485674354";"0.0216934919524143";"0.0224215246636771";"0.0220820189274448";"0.0184027777777778";"0.0182318541451668";"0.0171350239890336";"0.0198398886181692";"0.0201388888888889";"0.024695652173913";"0.0248190279214064";"0.0267031838411503";"0.0229033344560458";"0.0246010638297872";769;586;413;300;243;151;128;108;70;44;28;27;21;7;10;6;11;6;0;2;0;1;0;1;0;0;1;0;0;0;0;0;0;2;7;3;9;5;7;10;3;5;3;4;6;2;1;0;0;2;2;0;0;0;1;0;0;1;0;0
